,sigma1_crev_clean,sigma2_crev_clean
0,201043.23181101872,63482.03816771309
1,189675.5686552502,54059.33114172779
2,195723.4435322,43450.641387485535
3,180933.12064889242,28468.223923613376
4,163022.3513357665,9023.976877091322
5,141510.39258821687,-14492.126476067584
6,115613.41208121528,-41155.810354157395
7,86181.93250189509,-67981.69336311056
8,187899.69479385484,20337.814350385626
9,168497.24995154308,-1112.930296115257
10,143174.40633581157,-28984.83032357681
11,111670.84686196267,-61093.533450001465
12,75275.55236755585,-93223.15181465592
13,39048.59641362049,-119543.41182941347
14,10262.92507702973,-136180.3865469095
15,-7688.848631626723,-143712.4499265514
16,-12971.434076581958,-143401.38195547386
17,-4803.373935396776,-135755.6903760645
18,178117.37149122314,-4366.2983847994765
19,152933.5018498753,-32309.036760476265
20,118484.76727354909,-67770.4546606664
21,78366.05754225493,-103829.11402962748
22,35849.53012809384,-135256.78042418422
23,7.502483766904334,-156532.0998690076
24,-24594.538487352635,-167935.47587769738
25,-37719.13562243132,-171929.56878832149
26,-39206.671218358526,-169902.77074953812
27,-28814.040073584023,-162081.4777216519
28,-7035.438953638673,-147689.5861964216
29,24652.693506251606,-125233.90404472206
30,60223.567878385984,-95613.10912015627
31,91364.52741912779,-64244.97194393594
32,167093.16667927004,-28586.09932065262
33,134541.91621033358,-63088.42622830889
34,92938.73782508247,-102210.74738022691
35,47078.34720351072,-138380.25823785475
36,4925.114240972616,-165424.6155943169
37,-27586.76255488713,-182263.65934325755
38,-48061.283601587274,-190701.3096432761
39,-57431.74566363673,-193064.69166487822
40,-56119.421837209535,-190455.66620770562
41,-44122.99652303124,-182865.36217882184
42,-22115.08572475474,-169628.83253754914
43,8382.048880579794,-149698.51661630586
44,42418.35624326812,-123818.44592517076
45,73920.84165079377,-95118.72430161637
46,99748.39333548263,-67090.19222350762
47,119188.3177826247,-42473.50311997892
48,133292.30932028,-22358.713872995497
49,143951.43178956222,-6016.034257975072
50,153060.24403351365,8123.986708852346
51,154823.45350897757,-51354.16759389426
52,-17077.08197303016,-186647.6531210565
53,-46218.48692192837,-200684.54464366066
54,-63385.9724319925,-207596.65012120936
55,-69934.63140474142,-209366.6533557159
56,-66441.80601286399,-206745.68969553127
57,-53174.16107355195,-199590.48798670902
58,-31563.00520173082,-187698.19755862822
59,-2513.4919436920463,-169741.6033251398
60,28593.58038554286,-147423.76535467786
61,57464.539638440285,-122891.69482616209
62,82392.88498112813,-97916.74418417813
