Fracture,Stress
152,130.2814365
96,145.4116907
147,175.0621893
32,30.53991556
39,39.1873959
145,171.4014093
140,12.56801082
36,30.84199608
39,37.63341243
36,39.88698226
139,4.653955763
141,21.67029891
116,32.63278624
38,37.79483703
35,40.1829329
54,41.23300572
133,1.192674215
140,14.7596386
110,26.78248967
36,34.17796063
38,38.30197262
39,40.69516174
52,42.14102101
122,47.07398291
42,171.1640983
94,178.9128133
129,9.911190799
113,21.58171178
104,30.20326313
36,35.64879589
36,39.08104383
36,41.44025658
59,43.16660744
122,61.26674808
1,77.50593391
98,165.2479995
90,169.7222613
95,176.5205604
97,6.004987769
101,16.83514508
112,26.11895179
116,32.54609062
36,36.7943017
37,39.7739297
35,42.09639621
137,104.5103066
99,112.8500459
89,167.2013029
89,173.4532855
93,2.189177794
95,12.50453736
103,22.11947458
112,29.3553214
116,34.31138721
114,37.78210622
36,40.47911179
6,42.79084187
132,84.63360667
130,94.99025251
113,103.4672111
119,107.9055084
103,108.6987626
90,168.7747765
43,177.7273503
26,8.546828163
95,18.76826087
105,26.70429366
111,32.2491748
113,36.09444346
118,38.98835152
119,41.46964173
130,79.10295338
119,86.37415981
107,92.7084623
110,96.56636975
29,95.92449747
98,89.32250906
104,72.94032412
112,55.67756368
90,169.5933424
90,4.971898134
95,17.99129298
95,26.29193396
105,31.78570012
110,35.59786079
116,38.37909996
117,40.74432306
119,43.00376208
118,45.29479143
5,70.06792857
123,74.6351897
113,79.18109632
104,83.11395543
15,85.12624851
25,83.3678015
98,76.86144316
113,65.90835027
113,55.40657412
102,48.75681079
93,44.66328199
84,41.9530961
70,40.20700655
61,39.21575413
54,38.75069351
40,38.73668071
37,39.08911507
34,39.80006706
39,40.77196282
38,41.82809672
41,42.80094956
21,43.54326413
47,43.90646788
62,43.69809729
63,42.61833063
84,102.5868023
88,42.95140682
92,39.59743807
92,38.69595252
96,39.45449278
103,40.72390365
113,42.10087673
114,43.72367418
122,45.67864219
120,47.87457804
123,50.07092237
2,68.42796521
130,71.38230641
100,73.97945452
30,75.96316062
22,76.39171788
26,74.52075926
104,69.66979551
89,62.58256955
108,55.48396566
92,50.10960231
87,46.20512754
76,43.23113942
64,41.12699747
54,39.73312107
