,sigma1_nocrev_clean,sigma2_nocrev_clean
0,117022.64128104373,-89278.15863751507
1,70486.45061228046,-129443.87901098852
2,23151.857381465,-163214.36846466726
3,143364.10550972278,-70599.47629016761
4,101212.0162283635,-110730.09253562629
5,52153.119193093706,-150208.12045035014
6,5447.952789752089,-181182.23752022674
7,-32218.31865138022,-201883.6534071297
8,-58425.52080151491,-214200.94531081314
9,133067.7774418058,-86149.11982093888
10,38013.09225346115,-165491.31091346455
11,-7070.622943645692,-193989.45471088175
12,-42190.11255236779,-212717.32028095593
13,-65861.60241979803,-223939.2111486406
14,-78122.70683451448,-229688.79945426973
15,28470.786778473455,-175456.07268644543
16,-14798.002972155853,-202121.8745694498
17,-47000.203754352566,-219218.9093628524
18,-68616.07835788952,-229820.26010768666
19,-79119.42012980144,-235447.8304599949
20,-79845.05056053163,-237304.73981735174
21,176656.13751038804,83027.47718541883
22,120390.7011590201,-102211.82199971855
23,23873.26624335794,-179985.25079860401
24,-17497.671472107177,-205365.51626083045
25,-48245.04499904826,-221845.4632458566
26,-67787.12159851815,-231911.86476206762
27,-76434.59782942706,-237414.99439490744
28,-75436.25333802603,-239326.7484796097
29,188491.4959076939,98457.59171198795
30,172430.60077390133,86646.55384742761
31,153549.71229262985,69518.29793417177
32,130383.72767696364,43233.336345524156
33,92379.70813056856,-5440.316146218742
34,8744.606538939042,-81638.21040872477
35,120694.24534340153,-100082.62945901821
36,25455.797116851638,-178014.7730795821
37,-14389.311220114163,-202871.79870620667
38,-42989.66096849163,-218691.37453513307
39,-61560.9525857995,-228914.8082307903
40,-68730.23999366869,-234446.42133550975
41,-66450.28646127872,-236584.1632633829
42,12145.263405280333,-202121.46958076308
43,37607.84725483786,-164713.72083646478
44,51942.85118134643,-148063.41086896998
45,75510.62665667148,-123205.16800831106
46,184377.40478798954,99807.84473456998
47,167829.85722770044,89034.16706637177
48,148580.29636832015,72666.05800092398
49,125106.41225316422,46273.89167214144
50,84624.70477727907,-7304.234651562685
51,-7463.260873479056,-87140.52877232358
52,-65797.79842655512,-112305.33990832142
53,-88453.48163515443,-121202.89619815486
54,-97474.09825294613,-126958.81966758604
55,-98038.04685755954,-131668.3128196505
56,128286.59477343204,-87840.46537494601
57,82128.61171301903,-131249.05132164346
58,34999.31593454073,-167852.9985792664
59,-3911.7480193520896,-193248.61742837715
60,-32127.23805727021,-209712.76336693266
61,-49097.638016500205,-219909.70087789482
62,-55084.75432452504,-225691.90368184252
63,-51782.945180209135,-228153.295918033
64,-41961.671643531256,-227814.60199128842
65,33729.889475200005,-167275.17689390053
66,55798.154611304446,-145448.0002981184
67,163135.88385598786,89477.7036618367
68,143598.92621871387,74268.97468797021
69,120442.75312659767,48382.02124737549
70,77118.37028625487,-11338.116074402467
71,-14999.000642028135,-89659.07900606355
72,-62590.704081951975,-112191.8144175186
73,-81577.41525349906,-121871.9114411237
74,-87553.5820869697,-127745.38966464337
75,-84628.41208323656,-132266.44358425547
76,-71917.23807057372,-134054.297870403
77,-47922.82409690995,-131314.1231103439
78,98735.66816071566,-109899.79407042827
79,54712.71358533954,-147036.06134808747
80,16572.702478579173,-174126.401130991
81,-11398.294341282162,-191936.2138382306
82,-28004.228405087473,-203082.97119836614
83,-33385.462563134366,-209543.12460585177
84,9253.487309297285,-206095.56960395872
85,6119.232469656941,-200367.11599616837
86,8858.616288345424,-193721.86355156306
87,18913.02200109334,-182332.33267003737
88,158900.32983177056,87382.49647299806
89,139203.46549600022,73223.21177210167
90,115721.70493712001,46270.80073045821
91,71280.96915455638,-17285.83837098355
92,-12548.132855428332,-89838.89897089754
93,-53247.498866443486,-112093.66545345835
94,-69312.1261680094,-121959.85816055823
95,160619.29029448726,-33343.06005378481
96,124816.6522319759,-74749.04703180128
97,85782.25753379392,-112379.73873786425
98,49660.795556957404,-141879.68885294313
99,21967.48949521521,-162240.4982814265
100,9217.526204438167,-205776.14561453956
101,3313.9398167837935,-207092.85604777033
102,-458.3190793561953,-206154.85495840455
103,314.84930434309354,-201977.73905558354
104,8528.750188737118,-193086.73326537502
105,172514.9905297765,87891.95829704139
106,155394.19100231794,81237.01722500406
107,136070.74611884635,68045.68315403505
108,111959.16132073427,39293.449212744636
109,66433.82302302768,-25616.05085607549
110,-4927.400876112035,-88966.92101285115
111,-40559.31816865963,-111175.07159421017
112,179851.54106402447,5270.060364777251
113,154162.70882584466,-28897.247438632097
114,13653.046321225847,-200573.55138823242
115,3735.7254444489663,-205681.93939113765
116,-2691.210516179068,-207673.93258931945
117,-3791.5238629087107,-205986.17637110146
118,2863.8934596465697,-199527.94614603493
119,168587.1192543921,75437.15207539842
120,151647.1641100215,69727.80796155483
121,131790.0371156084,56268.68434283497
122,106704.99435008375,25804.33858913993
123,59231.08747876783,-37457.14167186608
124,1178.2390178686983,-88973.9433914476
125,-26652.04102369262,-108929.988310555
126,187677.2298271164,69589.27236613748
127,38242.99815046054,-178747.4997720154
128,22155.332559775998,-190874.16296422636
129,163051.0828170103,56655.243421090854
130,146301.8049777223,51325.05318175355
131,125772.27073328465,37089.01887964838
132,97876.79715938838,4679.985929268441
133,50738.69969749301,-50924.53446289965
134,7987.472433544346,-88841.63804110663
135,-10739.929661321235,-105022.07845473687
136,-10269.601284093442,-109846.30226956782
